date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,20:00,Friendlies (M),Friendlies (M),Tue,Neutral,D,1.0,1.0,mx Mexico,,52412.0,Youri Tielemans,4-2-3-1,4-2-3-1,Rosendo Mendoza,Match Report,,Belgium
2026-03-28,15:37 (14:37),Friendlies (M),Friendlies (M),Sat,Away,W,5.0,2.0,us United States,,66867.0,Kevin De Bruyne,4-2-3-1,4-2-3-1,Esteban Ostojich,Match Report,,Belgium
2025-11-18,20:45 (14:45),WCQ,First round,Tue,Home,W,7.0,0.0,li Liechtenstein,81.0,26253.0,Youri Tielemans,4-3-3,3-5-2,Mohammed Al Hakim,Match Report,,Belgium
2025-11-15,19:00 (09:00),WCQ,First round,Sat,Away,D,1.0,1.0,kz Kazakhstan,77.0,28012.0,Hans Vanaken,4-2-3-1,4-2-3-1,Donatas Rumšas,Match Report,,Belgium
2025-10-13,19:45 (13:45),WCQ,First round,Mon,Away,W,4.0,2.0,wls Wales,38.0,32803.0,Kevin De Bruyne,4-2-3-1,4-2-3-1,Daniel Siebert,Match Report,,Belgium
2025-10-10,20:45 (13:45),WCQ,First round,Fri,Home,D,0.0,0.0,mk N. Macedonia,78.0,18583.0,Kevin De Bruyne,4-1-4-1,5-3-2,Halil Umut Meler,Match Report,,Belgium
2025-09-07,20:45 (13:45),WCQ,First round,Sun,Home,W,6.0,0.0,kz Kazakhstan,75.0,15119.0,Youri Tielemans,4-2-3-1,3-4-3,Radu Petrescu,Match Report,,Belgium
2025-09-04,20:45 (13:45),WCQ,First round,Thu,Away,W,6.0,0.0,li Liechtenstein,82.0,3158.0,Youri Tielemans,4-2-3-1,3-5-2,Morten Krogh,Match Report,,Belgium
2025-06-09,20:45 (13:45),WCQ,First round,Mon,Home,W,4.0,3.0,wls Wales,46.0,33653.0,Youri Tielemans,4-2-3-1,5-4-1,Irfan Peljto,Match Report,,Belgium
2025-06-06,20:45 (13:45),WCQ,First round,Fri,Away,D,1.0,1.0,mk N. Macedonia,68.0,23070.0,Thomas Meunier,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,Belgium
