date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,21:00 (14:00),Friendlies (M),Friendlies (M),Tue,Away,D,0.0,0.0,es Spain,,35895.0,Mohamed Hany,4-2-3-1,4-1-4-1,Georgi Kabakov,Match Report,,Egypt
2026-03-27,20:30 (12:30),Friendlies (M),Friendlies (M),Fri,Away,W,4.0,0.0,sa Saudi Arabia,,,Trézéguet,4-1-4-1,3-4-1-2,Abdulla Ali Al Athba,Match Report,,Egypt
2026-01-14,18:00 (12:00),Africa Cup of Nations,Semi-finals,Wed,Neutral,L,0.0,1.0,sn Senegal,37.0,52079.0,Mohamed Salah,3-4-1-2,4-1-4-1,Pierre Ghislain Atcho,Match Report,,Egypt
2026-01-10,20:00 (14:00),Africa Cup of Nations,Quarter-finals,Sat,Neutral,W,3.0,2.0,ci Côte d'Ivoire,29.0,31213.0,Mohamed Salah,3-4-1-2,4-1-4-1,Mustapha Ghorbal,Match Report,,Egypt
2026-01-05,17:00 (11:00),Africa Cup of Nations,Round of 16,Mon,Neutral,W,3.0,1.0,bj Benin,55.0,20191.0,Mohamed Salah,5-3-2,4-2-3-1,Pierre Ghislain Atcho,Match Report,Required Extra Time,Egypt
2025-12-29,17:00 (11:00),Africa Cup of Nations,Group stage,Mon,Neutral,D,0.0,0.0,ao Angola,56.0,16090.0,Salah Mohsen,3-1-4-2,4-2-3-1,Clément Franklin Kpan,Match Report,,Egypt
2025-12-26,16:00 (10:00),Africa Cup of Nations,Group stage,Fri,Neutral,W,1.0,0.0,za South Africa,36.0,40219.0,Mohamed Salah,5-3-2,4-2-3-1,Pacifique Ndabihawenimana,Match Report,,Egypt
2025-12-22,21:00 (15:00),Africa Cup of Nations,Group stage,Mon,Neutral,W,2.0,1.0,zw Zimbabwe,77.0,28199.0,Mohamed Salah,4-2-3-1,4-3-2-1,Issa Sy,Match Report,,Egypt
2025-10-12,22:00 (14:00),WCQ,First round,Sun,Home,W,1.0,0.0,gw Guinea-Bissau,,,Ramy Rabia,4-2-3-1,4-1-4-1,Daniel Nii Ayi Laryea,Match Report,,Egypt
2025-10-08,17:00 (11:00),WCQ,First round,Wed,Away,W,3.0,0.0,dj Djibouti,,,Mohamed Salah,3-2-4-1,5-4-1,Tanguy Mebiame,Match Report,,Egypt
