date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2025-10-14,19:00 (10:00),Friendlies (M),Friendlies (M),Tue,Neutral,W,2.0,0.0,tz Tanzania,,1340.0,Saeid Ezatolahi,4-2-3-1,4-1-4-1,Adel Ali Al Naqbi,Match Report,,Iran
2025-10-10,20:00 (12:00),Friendlies (M),Friendlies (M),Fri,Away,L,1.0,2.0,ru Russia,,42387.0,Mehdi Taremi,4-2-3-1,4-1-4-1,Nikola Dabanović,Match Report,,Iran
2025-06-10,19:30 (11:00),WCQ,Third round,Tue,Home,W,3.0,0.0,kp Korea DPR,69.0,16803.0,Mehdi Taremi,4-1-4-1,4-2-3-1,Nazmi Nasaruddin,Match Report,,Iran
2025-06-05,21:15 (13:15),WCQ,Third round,Thu,Away,L,0.0,1.0,qa Qatar,48.0,8925.0,Mehdi Taremi,4-2-3-1,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,Iran
2025-03-25,19:30 (11:00),WCQ,Third round,Tue,Home,D,2.0,2.0,uz Uzbekistan,61.0,36702.0,Alireza Jahanbakhsh,4-2-3-1,3-4-3,Ahmed Abu Bakar Al Kaf,Match Report,,Iran
2025-03-20,19:30 (11:00),WCQ,Third round,Thu,Home,W,2.0,0.0,ae UAE,56.0,20469.0,Alireza Jahanbakhsh,4-2-3-1,5-4-1,Ko Hyungjin,Match Report,,Iran
2024-11-19,20:00 (09:00),WCQ,Third round,Tue,Away,W,3.0,2.0,kg Kyrgyz Republic,61.0,10021.0,Mehdi Taremi,4-2-3-1,3-4-3,Ma Ning,Match Report,,Iran
2024-11-14,19:00 (07:00),WCQ,Third round,Thu,Neutral,W,3.0,2.0,kp Korea DPR,49.0,150.0,Mehdi Taremi,4-2-3-1,4-2-2-2,Sadullo Gulmurodi,Match Report,,Iran
2024-10-15,19:30 (11:00),WCQ,Third round,Tue,Neutral,W,4.0,1.0,qa Qatar,46.0,7890.0,Mehdi Taremi,4-2-3-1,4-4-1-1,Yūsuke Araki,Match Report,,Iran
2024-10-10,19:00 (09:00),WCQ,Third round,Thu,Away,D,0.0,0.0,uz Uzbekistan,56.0,33829.0,Alireza Beiranvand,4-2-3-1,5-4-1,Shaun Evans,Match Report,,Iran
