date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,20:45 (13:45),Friendlies (M),Friendlies (M),Tue,Home,D,1.0,1.0,ec Ecuador,,29344.0,Virgil van Dijk,4-2-3-1,4-2-2-2,Sascha Stegemann,Match Report,,Netherlands
2026-03-27,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,W,2.0,1.0,no Norway,,50327.0,Virgil van Dijk,4-2-3-1,4-2-2-2,Lawrence Visser,Match Report,,Netherlands
2025-11-17,20:45 (14:45),WCQ,First round,Mon,Home,W,4.0,0.0,lt Lithuania,69.0,46913.0,Virgil van Dijk,4-3-3,5-4-1,Luís Godinho,Match Report,,Netherlands
2025-11-14,20:45 (14:45),WCQ,First round,Fri,Away,D,1.0,1.0,pl Poland,60.0,56278.0,Virgil van Dijk,4-2-3-1,3-4-3,Maurizio Mariani,Match Report,,Netherlands
2025-10-12,18:00 (11:00),WCQ,First round,Sun,Home,W,4.0,0.0,fi Finland,69.0,52387.0,Virgil van Dijk,4-2-3-1,5-3-2,Slavko Vinčič,Match Report,,Netherlands
2025-10-09,20:45 (13:45),WCQ,First round,Thu,Away,W,4.0,0.0,mt Malta,63.0,9254.0,Virgil van Dijk,4-3-3,4-2-3-1,Duje Strukan,Match Report,,Netherlands
2025-09-07,19:00 (11:00),WCQ,First round,Sun,Away,W,3.0,2.0,lt Lithuania,73.0,14797.0,Virgil van Dijk,4-2-3-1,3-4-3,Elçin Məsiyev,Match Report,,Netherlands
2025-09-04,20:45 (13:45),WCQ,First round,Thu,Home,D,1.0,1.0,pl Poland,74.0,40904.0,Virgil van Dijk,4-3-3,4-2-3-1,Simone Sozza,Match Report,,Netherlands
2025-06-10,20:45 (13:45),WCQ,First round,Tue,Home,W,8.0,0.0,mt Malta,65.0,21006.0,Virgil van Dijk,4-3-3,4-2-3-1,Ricardo de Burgos,Match Report,,Netherlands
2025-06-07,21:45 (13:45),WCQ,First round,Sat,Away,W,2.0,0.0,fi Finland,60.0,29483.0,Virgil van Dijk,4-3-3,4-2-3-1,Daniel Siebert,Match Report,,Netherlands
