date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2026-03-31,21:00 (20:00),Friendlies (M),Friendlies (M),Tue,Away,D,0.0,0.0,ca Canada,,22624.0,Ellyes Skhiri,4-2-3-1,4-2-2-2,Keylor Herrera,Match Report,,Tunisia
2026-03-28,20:00 (19:00),Friendlies (M),Friendlies (M),Sat,Neutral,W,1.0,0.0,ht Haiti,,13408.0,Ellyes Skhiri,4-2-3-1,4-2-3-1,Pierre-Luc Lauzière,Match Report,,Tunisia
2025-12-30,17:00 (11:00),Africa Cup of Nations,Group stage,Tue,Neutral,D,1.0,1.0,tz Tanzania,64.0,15205.0,Ali Abdi,4-1-4-1,3-4-1-2,Jean-Jacques Ndala,Match Report,,Tunisia
2025-12-27,21:00 (15:00),Africa Cup of Nations,Group stage,Sat,Neutral,L,2.0,3.0,ng Nigeria,41.0,25544.0,Ferjani Sassi,4-2-2-2,4-3-1-2,Boubou Traoré,Match Report,,Tunisia
2025-12-23,21:00 (15:00),Africa Cup of Nations,Group stage,Tue,Neutral,W,3.0,1.0,ug Uganda,49.0,13387.0,Ferjani Sassi,4-1-4-1,4-2-3-1,Tanguy Mebiame,Match Report,,Tunisia
2025-11-18,20:30 (14:30),Friendlies (M),Friendlies (M),Tue,Neutral,D,1.0,1.0,br Brazil,,,Ferjani Sassi,5-3-2,4-2-3-1,Jérôme Brisard,Match Report,,Tunisia
2025-11-14,17:45 (11:45),Friendlies (M),Friendlies (M),Fri,Home,W,3.0,2.0,jo Jordan,,,Ali Abdi,4-1-4-1,5-4-1,Samir Guezzaz,Match Report,,Tunisia
2025-10-13,14:00 (08:00),WCQ,First round,Mon,Home,W,3.0,0.0,na Namibia,,,Ferjani Sassi,4-2-3-1,4-1-4-1,Issa Sy,Match Report,,Tunisia
2025-10-10,17:00 (11:00),WCQ,First round,Fri,Neutral,W,6.0,0.0,st São Tomé,,,Naïm Sliti,4-1-4-1,4-2-3-1,Andofetra Rakotojaona,Match Report,,Tunisia
2025-09-08,14:00 (08:00),WCQ,First round,Mon,Away,W,1.0,0.0,gq Equ. Guinea,,,Ferjani Sassi,4-2-3-1,4-1-4-1,Patrice Milazar,Match Report,,Tunisia
